city,category,year,count,region,total_count,cumulative_count
Allahabad,killed,2014,481,non_metro,1850,1371
Amritsar,killed,2014,94,non_metro,386,287
Asansol-Durgapur,killed,2014,210,non_metro,1092,882
Aurangabad,killed,2014,170,non_metro,865,695
Bengaluru,killed,2014,729,metro,3639,2926
Bhopal,killed,2014,236,non_metro,1328,1093
Chandigarh,killed,2014,131,non_metro,513,384
Chennai,killed,2014,1118,metro,4652,3766
Coimbatore,killed,2014,282,non_metro,1304,1059
Delhi,killed,2014,1671,metro,9044,7422
Dhanbad,killed,2014,63,non_metro,495,447
Faridabad,killed,2014,259,non_metro,1176,970
Ghaziabad,killed,2014,387,non_metro,2037,1706
Gwalior,killed,2014,220,non_metro,1212,947
Hyderabad,killed,2014,411,metro,2234,1809
Indore,killed,2014,439,non_metro,2177,1733
Jabalpur,killed,2014,317,non_metro,1544,1179
Jaipur,killed,2014,432,non_metro,2104,1628
Jamshedpur,killed,2014,92,non_metro,798,641
Jodhpur,killed,2014,257,non_metro,1429,1132
Kannur,killed,2014,77,non_metro,335,268
Kanpur,killed,2014,600,non_metro,2383,1718
Khozikode,killed,2014,159,non_metro,674,515
Kochi,killed,2014,136,non_metro,781,613
Kolkata,killed,2014,450,metro,2225,1803
Kollam,killed,2014,217,non_metro,1121,917
Kota,killed,2014,125,non_metro,567,459
Lucknow,killed,2014,537,non_metro,2550,2024
Ludhiana,killed,2014,318,non_metro,1469,1198
Madurai,killed,2014,101,non_metro,713,498
